Name,Type,Start Date,End Date,Solo Project Deadline,Description
V999,Voyage,2030-01-01,2030-02-15,,For testing only
V55,Voyage,2025-05-05,2025-06-15,2025-04-27,
V54,Voyage,2025-03-03,2025-04-13,2025-02-23,
V53,Voyage,2025-01-06,2025-02-16,2024-12-29,
V52,Voyage,2024-11-04,2024-12-15,2024-10-27,
V51,Voyage,2024-09-02,2024-10-13,2024-08-25,
V50,Voyage,2024-07-01,2024-08-11,2024-06-23,
V49,Voyage,2024-05-06,2024-06-16,2024-04-28,
V48,Voyage,2024-03-04,2024-04-14,2024-02-25,
V47,Voyage,2024-01-08,2024-02-18,,
V46,Voyage,2023-10-02,2023-11-12,,
V45,Voyage,2023-08-07,2023-09-17,,
V44,Voyage,2023-05-01,2023-06-11,,
V43,Voyage,2023-03-06,2023-04-16,,
V42,Voyage,2023-01-02,2023-02-12,,
V41,Voyage,2022-10-03,2022-11-06,,First Voyage starting every other month schedule
V40,Voyage,2022-08-01,2022-09-11,,"First Voyage following gap from April
"
V39,Voyage,2022-04-04,2022-05-15,,
V38,Voyage,2022-03-07,2022-04-17,,
V37,Voyage,2022-02-07,2022-03-20,,
V36,Voyage,2022-01-03,2022-02-13,,
V35,Voyage,2021-11-01,2021-12-12,,
V34,Voyage,2021-10-04,2021-11-14,,
V33,Voyage,2021-08-30,2021-10-10,,
V32,Voyage,2021-07-19,2021-08-29,,
V31,Voyage,2021-05-31,2021-07-11,,
V30,Voyage,2021-05-03,2021-06-13,,
V29,Voyage,2021-04-05,2021-05-16,,
V28,Voyage,2021-03-01,2021-04-11,,
V27,Voyage,2021-02-01,2021-03-14,,
V26,Voyage,2021-01-04,2021-02-14,,
V25,Voyage,2020-11-02,2020-12-13,,
V24,Voyage,2020-10-05,2020-11-15,,
V23,Voyage,2020-08-31,2020-10-11,,
V22,Voyage,2020-08-03,2020-09-13,,
V21,Voyage,2020-06-29,2020-08-09,,
V20,Voyage,2020-06-01,2020-07-12,,
V19,Voyage,2020-05-04,2020-06-14,,
V18,Voyage,2020-03-30,2020-05-10,,
V17,Voyage,2020-03-02,2020-04-12,,
V16,Voyage,2020-02-03,2020-03-15,,
V15,Voyage,2020-01-06,2020-02-16,,
V14,Voyage,2019-12-02,2020-01-19,,
V13,Voyage,2019-11-04,2019-12-15,,
V12,Voyage,2019-09-30,2019-11-10,,
V11,Voyage,2019-09-01,2019-10-13,,
V10,Voyage,2019-06-29,2019-08-11,,
V9,Voyage,2019-06-01,2019-07-14,,
